"X.EMPTY.","Nimi","Osoite","Postinro","Paikkakunta","Kaupunginosa","Aukioloaika","NA.","osoite_paikkakunta","lat","lon"
835,"Alepa","Pasilanraitio 5",240,"Helsinki","Länsi-Pasila",NA,"Ruokakaupat","Pasilanraitio 5,Helsinki","60.1974926","24.9273212"
836,"Alepa","Perämiehenkatu 10",150,"Helsinki","Punavuori",NA,"Ruokakaupat","Perämiehenkatu 10,Helsinki","60.1577128","24.9352772"
837,"Alepa","Salpausseläntie 11",710,"Helsinki","Pihlajisto",NA,"Ruokakaupat","Salpausseläntie 11,Helsinki","60.2311749","25.0000022"
838,"Alepa","Mannerheimintie 170",300,"Helsinki","Taka-Töölö",NA,"Ruokakaupat","Mannerheimintie 170,Helsinki","60.2034572","24.8983071"
839,"Alepa","Näyttelijäntie 14",400,"Helsinki","Pohjois-Haaga",NA,"Ruokakaupat","Näyttelijäntie 14,Helsinki","60.2296041","24.896685"
840,"Alepa","Pohjolankatu 43",610,"Helsinki","Käpylä",NA,"Ruokakaupat","Pohjolankatu 43,Helsinki","60.2164973","24.9536458"
841,"Alepa","Porvoonkatu 22",510,"Helsinki","Alppila",NA,"Ruokakaupat","Porvoonkatu 22,Helsinki","60.1916202","24.9431934"
842,"Alepa","Puistolanraitti 11",760,"Helsinki","Puistola",NA,"Ruokakaupat","Puistolanraitti 11,Helsinki","60.2712678","25.0513468"
843,"Alepa","Säterintie 2",720,"Helsinki","Pukinmäki",NA,"Ruokakaupat","Säterintie 2,Helsinki","60.2428003","24.9935444707105"
844,"Alepa","Roihuvuorentie 26",820,"Helsinki","Roihuvuori",NA,"Ruokakaupat","Roihuvuorentie 26,Helsinki","60.2021822","25.0586895"
845,"Alepa","Runeberginkatu 58",260,"Helsinki","Taka-Töölö",NA,"Ruokakaupat","Runeberginkatu 58,Helsinki","60.1814822","24.9261397"
846,"Alepa","Sitratie 7",420,"Helsinki","Kannelmäki",NA,"Ruokakaupat","Sitratie 7,Helsinki","60.2395955","24.8756328"
847,"Alepa","Sturenkatu 27",510,"Helsinki","Vallila",NA,"Ruokakaupat","Sturenkatu 27,Helsinki","60.1937987","24.9559802"
848,"Alepa","Sturenkatu 40",550,"Helsinki","Vallila",NA,"Ruokakaupat","Sturenkatu 40,Helsinki","60.1961034","24.9597815"
