"tyyppi","lat","lon","osoite","nimi"
"Pesulat","60.1916307","24.912036","Mannerheimintie 20 A,Helsinki","Autopesula Auto Likavex"
"Leipomot","60.1855222","24.9528525","Franzeninkatu 10,Helsinki","Avikaisen leipomo"
"","60.2089475","25.0566394","Laippatie 19 A,Helsinki","Avoline Oy / Ergotron prod."
"Ravintolat","60.1719605","24.9459332","Vilhonkatu 6,Helsinki","AZ-Mesopotamia"
"Ravintolat","60.1712377","24.9586989","Meritullinkatu 5,Helsinki","Azoros"
"Baarit ja yökerhot","60.1908911","24.9448473","Porvoonkatu 19,Helsinki","Baari Baari Porvoonkadun Baari"
"Vaatekaupat","60.1661298","24.9414259","Yrjönkatu 26 B,Helsinki","Backstreet"
"Ravintolat","60.1679353","24.9407997","Mannerheimintie 12,Helsinki","Baker's Bar & Restaurant"
"Muut","60.1916307","24.912036","Mannerheimintie 20 A,Helsinki","Ballerina Shop"
"Ruokakaupat","60.1731894","24.7258864","Kuunkehrä 2,Espoo","Baltian Elintarvikkeet Oy"
"Ravintolat","60.1652365","24.9095244","Sulhasenkuja 3,Helsinki","Bar & Restaurant Fokka"
"Baarit ja yökerhot","60.174662","24.8055780183699","Itätuulenkuja 10,Espoo","Bar Jarro"
"Ravintolat","60.1542866","24.879973","Heikkiläntie 2,Helsinki","Bar52"
"Sekatavarakaupat","60.1598616","24.7111792","Rusthollarinkatu 6,Espoo","Bauhaus"
"Sekatavarakaupat","60.2223276","24.87614","Valimotie 19,Vantaa","Bauhaus"
"Ravintolat","60.1694465","24.932871","Urho Kekkosen katu 1,Helsinki","BBQ House"
"Parturit ja kampaamot","60.32445005","25.0578136013667","Ojalehdonkuja 1,Vantaa","Beauty Studio Phoenix"
"Muut","60.1694465","24.932871","Urho Kekkosen katu 1,Helsinki","Bebes"
"Ravintolat","60.1916307","24.912036","Mannerheimintie 20 A,Helsinki","Beefy King"
"Laukkuliikkeet","60.2188216","24.8128941","Leppävaarankatu 3-9,Espoo","Belizia"
"Laukkuliikkeet","60.2104564","25.0810679","Itäkatu 7,Helsinki","Belizia"
"Laukkuliikkeet","60.16951905","24.94285639283","Keskuskatu 3,Helsinki","Belizia"
"Laukkuliikkeet","60.2925143","24.9619895","Vantaanportinkatu 3,Vantaa","Belizia"
"Vaatekaupat","60.1694465","24.932871","Urho Kekkosen katu 1,Helsinki","Benetton"
"Vaatekaupat","60.1916307","24.912036","Mannerheimintie 20 A,Helsinki","Benetton & Sisley"
"Sisustusliikkeet","60.1916307","24.912036","Mannerheimintie 20 A,Helsinki","Benico"
"Hotellit","60.2183757","24.9070003","Nuijamiestentie 10,Helsinki","Best Western"
"Hotellit","60.168275","24.9775073","Merikasarminkatu 1 A,Helsinki","Best Western"
"Hotellit","60.1710739","24.9468593","Kaisaniemenkatu 3,Helsinki","Best Western"
"Hotellit","60.2846526","24.9658252","Veromäentie 1,Vantaa","Best Western"
"Ravintolat","60.1694465","24.932871","Urho Kekkosen katu 1,Helsinki","Bierhuis Rotterdam"
"Vaatekaupat","60.1758461","24.8039574","Länsituulentie 12,Espoo","Bik Bok"
"Vaatekaupat","60.2188216","24.8128941","Leppävaarankatu 3-9,Espoo","Bik Bok"
"Vaatekaupat","60.1694465","24.932871","Urho Kekkosen katu 1,Helsinki","Bik Bok"
"Vaatekaupat","60.2092277","25.0763207","Itäkatu 1-5,Helsinki","Bik Bok"
"Vaatekaupat","60.2373166","24.8908148","Kantelettarentie 1,Helsinki","Bik Bok"
"Vaatekaupat","60.2925135","24.961879","Vantaanportinkatu 7,Vantaa","Bik Bok"
"Urheilukaupat","60.1841722","24.9154952","Mechelininkatu 42,Helsinki","Bike Company"
"Urheilukaupat","60.1636516","24.7219488","Friisiläntie 1,Espoo","Bike Planet"
"Urheilukaupat","60.1754489","24.9506139","Unioninkatu 45,Helsinki","Bike Planet"
"Urheilukaupat","60.2811238","24.8261881","Martinkyläntie 39 B,Vantaa","Bike Planet"
"Autoliikkeet","60.17521715","24.7582400522341","Olarinluoma 8,Espoo","Bilia"
"Autoliikkeet","60.19558415","25.039462729856","Puusepänkatu 2,Helsinki","Bilia"
"Autoliikkeet","60.2783237","24.8721156","Vantaanlaaksontie 6 A,Vantaa","Bilia"
